trend_peak_season,coeficient_peak_season,intercept_peak_season,all_peak_season,00s_peak_season,10s_peak_season,test_peak_season,eff_peak_season,trend_season_length,coeficient_season_length,intercept_season_length,all_season_length,00s_season_length,10s_season_length,test_season_length,eff_season_length,trend_size,coeficient_size,intercept_size,all_size,00s_size,10s_size,test_size,eff_size,trend_total_ba,coeficient_total_ba,intercept_total_ba,all_total_ba,00s_total_ba,10s_total_ba,test_total_ba,eff_total_ba,trend_n_fires,coeficient_n_fires,intercept_n_fires,all_n_fires,00s_n_fires,10s_n_fires,test_n_fires,eff_n_fires,trend_mx_grw,coeficient_mx_grw,intercept_mx_grw,all_mx_grw,00s_mx_grw,10s_mx_grw,test_mx_grw,eff_mx_grw,trend_dur,coeficient_dur,intercept_dur,all_dur,00s_dur,10s_dur,test_dur,eff_dur,trend_fsr,coeficient_fsr,intercept_fsr,all_fsr,00s_fsr,10s_fsr,test_fsr,eff_fsr,trend_log_size,coeficient_log_size,intercept_log_size,all_log_size,00s_log_size,10s_log_size,test_log_size,eff_log_size,trend_log_n_fires,coeficient_log_n_fires,intercept_log_n_fires,all_log_n_fires,00s_log_n_fires,10s_log_n_fires,test_log_n_fires,eff_log_n_fires,trend_log_mx_grw_km2,coeficient_log_mx_grw_km2,intercept_log_mx_grw_km2,all_log_mx_grw_km2,00s_log_mx_grw_km2,10s_log_mx_grw_km2,test_log_mx_grw_km2,eff_log_mx_grw_km2,trend_log_tba,coeficient_log_tba,intercept_log_tba,all_log_tba,00s_log_tba,10s_log_tba,test_log_tba,eff_log_tba,trend_log_dur,coeficient_log_dur,intercept_log_dur,all_log_dur,00s_log_dur,10s_log_dur,test_log_dur,eff_log_dur,trend_log_fsr_km2_dy,coeficient_log_fsr_km2_dy,intercept_log_fsr_km2_dy,all_log_fsr_km2_dy,00s_log_fsr_km2_dy,10s_log_fsr_km2_dy,test_log_fsr_km2_dy,eff_log_fsr_km2_dy,aoi,fire_rotation,koppen
-,-1.28,2818,243.7,248.8,236.2,-,0.718,+,0.5615,-1083,48.08,45.45,50.81,ns,0.4683,-,-0.06041,123.3,1.904,2.284,1.528,-,0.04433,-,-598.7,1225000,402000,239800,162200,-,0.5307,+,152.7,-296100,211100,105000,106100,ns,0.281,-,-0.01732,35.68,0.8895,1.015,0.7655,-,0.04441,-,-0.03271,69.1,3.339,3.45,3.229,-,0.02878,-,-0.003689,7.816,0.4195,0.4582,0.3813,-,0.04349,-,-0.00924,19.25,0.6652,0.7047,0.6261,-,0.04433,+,0.01312,-17.07,12.26,11.56,11.57,ns,0.281,-,-0.00567,11.88,0.4824,0.5121,0.4531,-,0.04441,ns,NA,NA,140400,74000,66430,ns,0.1145,-,-0.006128,13.54,1.218,1.236,1.202,-,0.02878,-,-0.002292,4.916,0.3143,0.3307,0.2981,-,0.04349,madagascar_Temperate,30.54276527170782,Temperate
ns,NA,NA,170.7,173.6,166.5,ns,0.01041,ns,NA,NA,71.16,69.65,73.03,ns,0.1353,-,-0.009073,19.78,1.571,1.629,1.496,-,0.03325,-,-35.72,73810,46680,27310,19370,ns,0.2185,ns,NA,NA,29710,16770,12940,ns,0.1353,ns,NA,NA,0.7935,0.8411,0.7319,-,0.0399,-,-0.01734,37.87,3.073,3.119,3.012,-,0.02342,ns,NA,NA,0.4084,0.4291,0.3817,-,0.03232,-,-0.002713,6.047,0.6247,0.645,0.5985,-,0.03325,ns,NA,NA,10.3,9.727,9.468,ns,0.1353,-,-0.001731,3.928,0.4606,0.478,0.4381,-,0.0399,-,-20.41,41850,18560,10810,7747,ns,0.1977,-,-0.003914,9.029,1.173,1.182,1.162,-,0.02342,ns,NA,NA,0.3108,0.3204,0.2984,-,0.03232,madagascar_Arid,263.0441955669261,Arid
-,-1.15,2555,239.4,242,236,ns,0.3018,+,0.6711,-1305,46.39,43.88,49.41,ns,0.3226,-,-0.01028,21.51,0.8243,0.846,0.7964,-,0.01393,-,-39.92,83200,50960,29400,21570,ns,0.3642,-,-36.36,76060,61830,34750,27080,ns,0.3434,-,-0.004907,10.5,0.6177,0.6356,0.5947,-,0.01292,-,-0.001397,4.215,1.385,1.388,1.38,-,0.008619,-,-0.001931,4.344,0.4694,0.48,0.4557,-,0.01274,-,-0.001385,3.221,0.4356,0.4418,0.4275,-,0.01393,-,-0.01283,33.77,11.03,10.46,10.21,ns,0.3434,-,-0.001416,3.242,0.386,0.3919,0.3784,-,0.01292,-,-17.56,36590,26930,15350,11580,ns,0.4683,-,-8.695e-4,2.579,0.8249,0.8259,0.8237,-,0.008619,-,-8.745e-4,2.101,0.3423,0.3469,0.3364,-,0.01274,malawi_Equatorial,48.53778694419657,Equatorial
+,0.4582,-672.2,252.4,250.7,254.6,ns,0.385,-,-0.3663,776.8,41.73,42.42,40.76,ns,0.4267,+,0.003007,-5.178,0.8916,0.8845,0.9004,ns,0.00715,-,-44.03,91800,60090,33070,27010,ns,0.05203,-,-50.4,105000,67390,37390,30000,ns,0.1353,ns,NA,NA,0.6625,0.6664,0.6577,ns,0.006945,ns,NA,NA,1.408,1.404,1.414,ns,0.005123,ns,NA,NA,0.4801,0.4808,0.4794,ns,0.006944,+,0.001004,-1.576,0.4485,0.4442,0.4538,ns,0.00715,-,-0.01392,36.18,11.12,10.53,10.31,ns,0.1353,ns,NA,NA,0.3934,0.392,0.3952,ns,0.006945,-,-15.1,31890,30220,16610,13610,ns,0.1561,+,4.354e-4,-0.04345,0.8312,0.8293,0.8336,ns,0.005123,ns,NA,NA,0.3448,0.3441,0.3456,ns,0.006944,malawi_Temperate,41.16858239123475,Temperate
NA,NA,NA,195.5,199.7,191.4,NA,NA,NA,NA,NA,23.81,30.02,20.38,NA,NA,NA,NA,NA,0.3295,0.3844,0.2884,NA,NA,NA,NA,NA,6.92,3.46,3.461,NA,NA,NA,NA,NA,21,9,12,NA,NA,NA,NA,NA,0.3169,0.3578,0.2862,NA,NA,NA,NA,NA,1.048,1.111,1,NA,NA,NA,NA,NA,0.3169,0.3578,0.2862,NA,NA,NA,NA,NA,0.2774,0.316,0.2485,NA,NA,NA,NA,NA,3.091,2.303,2.565,NA,NA,NA,NA,NA,0.2679,0.296,0.2468,NA,NA,NA,NA,NA,5.826,2.844,2.982,NA,NA,NA,NA,NA,0.7125,0.7382,0.6931,NA,NA,NA,NA,NA,0.2679,0.296,0.2468,NA,NA,malawi_Arid,357457.3691646117,Arid
ns,NA,NA,123.2,127.6,115.2,ns,0.01041,-,-1.718,3514,86.69,94.49,69.3,-,0.4891,ns,NA,NA,1.269,1.278,1.253,ns,0.01898,-,-15.81,32190,8648,5615,3033,ns,0.4475,-,-14.4,29190,6815,4395,2420,-,0.4891,ns,NA,NA,0.5906,0.5945,0.5835,ns,0.006191,ns,NA,NA,3.356,3.289,3.477,+,0.02486,ns,NA,NA,0.3021,0.3031,0.3004,ns,0.007986,ns,NA,NA,0.529,0.5231,0.5396,ns,0.01898,-,-0.07887,164.3,8.827,8.388,7.792,-,0.4891,ns,NA,NA,0.3784,0.3772,0.3805,ns,0.006191,-,-6.477,13140,3605,2299,1306,ns,0.4267,ns,NA,NA,1.173,1.162,1.193,+,0.02486,ns,NA,NA,0.2509,0.2514,0.25,ns,0.007986,malaysia_Equatorial,782.3276452575973,Equatorial
NA,NA,NA,100.1,54.83,153.2,NA,NA,NA,NA,NA,81.7,22.14,98.29,NA,NA,NA,NA,NA,0.3635,0.4321,0.3063,NA,NA,NA,NA,NA,7.997,4.321,3.676,NA,NA,NA,NA,NA,22,10,12,NA,NA,NA,NA,NA,0.2927,0.3435,0.2504,NA,NA,NA,NA,NA,1.682,1.4,1.917,NA,NA,NA,NA,NA,0.2618,0.3274,0.2072,NA,NA,NA,NA,NA,0.2978,0.3406,0.2621,NA,NA,NA,NA,NA,3.135,2.398,2.565,NA,NA,NA,NA,NA,0.2505,0.2853,0.2216,NA,NA,NA,NA,NA,6.551,3.406,3.145,NA,NA,NA,NA,NA,0.8935,0.8253,0.9503,NA,NA,NA,NA,NA,0.2261,0.274,0.1861,NA,NA,malaysia_Temperate,846014.071710769,Temperate
ns,NA,NA,253.2,257.2,247.1,ns,0.07285,+,0.5625,-1042,94.5,90.27,100.3,ns,0.1353,-,-0.156,319.6,6.1,6.716,5.354,-,0.03355,-,-935.5,1917000,789700,475900,313900,-,0.5307,ns,NA,NA,129500,70850,58630,ns,0.1561,-,-0.05862,120.4,2.659,2.84,2.441,-,0.03736,-,-0.01268,29.2,3.723,3.734,3.71,-,0.01435,-,-0.01387,28.77,0.9175,0.9664,0.8584,-,0.04086,-,-0.007725,16.49,0.9648,0.9898,0.9346,-,0.03355,ns,NA,NA,11.77,11.17,10.98,ns,0.1561,-,-0.00747,15.76,0.749,0.7734,0.7195,-,0.03736,-,-80.7,168400,124900,70130,54790,ns,0.3226,-,-0.001931,5.182,1.297,1.298,1.296,-,0.01435,-,-0.003951,8.413,0.475,0.491,0.4556,-,0.04086,mali_Arid,32.89813493645674,Arid
-,-1.485,3202,220.2,235.1,194.9,ns,0.4683,ns,NA,NA,140.8,137.1,143.3,ns,0.01041,-,-0.06167,126.5,2.757,3.113,2.308,-,0.06888,-,-826,1692000,690300,434800,255500,-,0.7389,-,-139.2,291400,250400,139700,110700,ns,0.4059,-,-0.02427,50.1,1.312,1.449,1.14,-,0.07393,-,-0.01355,30.85,3.589,3.675,3.48,-,0.03754,-,-0.00715,14.94,0.5509,0.5915,0.4996,-,0.07319,-,-0.004886,10.68,0.819,0.8618,0.7651,-,0.06888,-,-0.01254,34.56,12.43,11.85,11.61,ns,0.4059,-,-0.005832,12.36,0.6207,0.6561,0.5761,-,0.07393,-,-125.9,262800,205000,120400,84700,-,0.5099,-,-0.002526,6.385,1.286,1.304,1.264,-,0.03754,-,-0.003356,7.143,0.3881,0.4075,0.3636,-,0.07319,mali_Equatorial,37.63529562362958,Equatorial
ns,NA,NA,216.7,220.1,205.7,ns,0.07285,ns,NA,NA,120.4,117.8,127.7,ns,0.2393,-,-0.9118,1851,18.38,20.74,13.56,-,0.08752,-,-248.2,501600,58090,44000,14090,-,0.6348,-,-7.538,15260,3161,2122,1039,-,0.5099,-,-0.6754,1370,11.76,13.39,8.422,-,0.09723,ns,NA,NA,3.541,3.479,3.669,ns,0.009266,-,-0.1413,287.7,3.872,4.38,2.834,-,0.1229,-,-0.03472,71.44,1.498,1.578,1.334,-,0.08752,-,-0.06976,145.3,8.059,7.661,6.947,-,0.5099,-,-0.03419,70.05,1.35,1.431,1.183,-,0.09723,-,-15.16,30650,4735,3349,1386,-,0.5932,ns,NA,NA,1.309,1.294,1.34,ns,0.009266,-,-0.02583,52.86,0.9417,1.009,0.8049,-,0.1229,mauritania_Arid,369.08644631221085,Arid
ns,NA,NA,114.3,115.4,112.8,ns,0.2185,+,0.7795,-1519,47.58,45.18,50.53,+,0.5099,ns,NA,NA,1.288,1.315,1.254,-,0.01682,ns,NA,NA,195100,111000,84040,ns,0.1145,ns,NA,NA,151500,84430,67040,ns,0.1769,ns,NA,NA,0.9195,0.9357,0.899,-,0.01608,ns,NA,NA,3.016,3.012,3.021,ns,0.005227,ns,NA,NA,0.4681,0.4712,0.4641,-,0.01845,-,-0.001789,4.09,0.5327,0.5388,0.525,-,0.01682,ns,NA,NA,11.93,11.34,11.11,ns,0.1769,ns,NA,NA,0.4903,0.4907,0.4897,-,0.01608,ns,NA,NA,80690,45490,35190,ns,0.1353,ns,NA,NA,1.143,1.142,1.145,ns,0.005227,ns,NA,NA,0.3441,0.3438,0.3444,+,0.01845,mexico_Equatorial,206.04217443541967,Equatorial
ns,NA,NA,129.8,131.8,127,ns,0.1145,ns,NA,NA,45.66,48.44,41.05,ns,0.09366,ns,NA,NA,2.512,2.61,2.38,-,0.0446,-,-100.9,206700,83550,49750,33810,ns,0.2393,-,-47.25,96920,33260,19060,14200,ns,0.3434,-,-0.007493,15.91,1.005,1.039,0.9587,-,0.0392,-,-0.01798,39.73,3.534,3.628,3.409,-,0.02734,-,-0.001373,3.192,0.436,0.4454,0.4233,-,0.03001,-,-0.004994,10.72,0.7048,0.7263,0.676,-,0.0446,-,-0.021,50.03,10.41,9.855,9.561,ns,0.3434,-,-0.00533,11.21,0.5032,0.517,0.4847,-,0.0392,-,-33.38,68500,23440,13840,9602,ns,0.3226,-,-0.003951,9.202,1.241,1.259,1.218,-,0.02734,-,-7.65e-4,1.854,0.3207,0.3263,0.3133,-,0.03001,mexico_Temperate,481.02420054076725,Temperate
ns,NA,NA,156.9,153,163,ns,0.1145,+,1.047,-2027,76.13,72.4,81.33,ns,0.3642,+,0.04777,-92.96,2.746,2.734,2.766,+,0.02428,ns,NA,NA,48840,29960,18870,ns,0.1353,-,-20.77,42610,17780,10960,6824,-,0.8013,+,0.0246,-48.24,1.201,1.145,1.291,+,0.03227,ns,NA,NA,3.631,3.665,3.576,ns,5.782e-4,+,0.005477,-10.5,0.4696,0.4567,0.4903,+,0.04068,+,0.006302,-11.97,0.6996,0.6867,0.7204,+,0.02428,-,-0.02487,56.76,9.786,9.302,8.828,-,0.8013,+,0.004679,-8.898,0.5066,0.494,0.5269,+,0.03227,-,-13.46,27640,12440,7527,4916,-,0.6764,ns,NA,NA,1.259,1.259,1.259,ns,5.782e-4,+,0.002977,-5.666,0.3195,0.3121,0.3313,+,0.04068,mexico_Arid,822.9905827767512,Arid
ns,NA,NA,82.39,81.62,83.76,ns,0.2567,ns,NA,NA,47.89,48.76,46.46,ns,0.281,-,-0.06894,139.5,1.12,1.332,0.8735,ns,0.1136,ns,NA,NA,339.5,217.2,122.3,ns,0.3642,ns,NA,NA,303,163,140,ns,0.1981,-,-0.03373,68.26,0.5462,0.6374,0.4401,ns,0.1066,-,-0.08974,183.6,3.106,3.417,2.743,ns,0.1027,-,-0.003641,7.577,0.298,0.3195,0.273,ns,0.05779,-,-0.02086,42.51,0.5291,0.5754,0.4752,ns,0.1136,ns,NA,NA,5.717,5.1,4.949,ns,0.1981,-,-0.01649,33.52,0.3708,0.404,0.3322,ns,0.1066,ns,NA,NA,160.3,93.78,66.53,ns,0.2602,-,-0.02633,54.02,1.168,1.224,1.102,ns,0.1027,-,-0.004186,8.636,0.2476,0.2586,0.2347,ns,0.05779,mexico_Polar,118398.76966578617,Polar
ns,NA,NA,207.2,206.1,209.2,ns,0.1561,ns,NA,NA,53.98,49.31,60.96,ns,0.09366,ns,NA,NA,0.8687,0.8785,0.8529,ns,0.004305,ns,NA,NA,5983,3745,2238,ns,0.1561,ns,NA,NA,6887,4263,2624,ns,0.01041,ns,NA,NA,1.532,1.537,1.524,ns,0.005243,ns,NA,NA,3.16,3.171,3.143,ns,0.007491,ns,NA,NA,0.8747,0.8767,0.8716,ns,0.005063,ns,NA,NA,0.4792,0.482,0.4745,ns,0.004305,ns,NA,NA,8.838,8.358,7.873,ns,0.01041,ns,NA,NA,0.7831,0.7828,0.7837,ns,0.005243,ns,NA,NA,3300,2055,1245,ns,0.03122,ns,NA,NA,1.176,1.177,1.174,ns,0.007491,ns,NA,NA,0.585,0.5846,0.5858,ns,0.005063,moldova_Boreal,114.29790802197437,Boreal
-,-4.969,10180,185.9,202.4,159.6,ns,0.4683,ns,NA,NA,66.73,52.2,78.17,ns,0.281,ns,NA,NA,0.9064,0.9049,0.9089,ns,0.02397,ns,NA,NA,773.2,476,297.2,ns,0.05203,ns,NA,NA,853,526,327,ns,0.06254,ns,NA,NA,2.087,2.017,2.198,ns,0.03664,+,0.03852,-74.52,3.033,3.029,3.04,ns,0.03779,ns,NA,NA,1.12,1.098,1.156,ns,0.04297,ns,NA,NA,0.4896,0.4915,0.4865,ns,0.02397,ns,NA,NA,6.75,6.267,5.793,ns,0.06254,ns,NA,NA,0.8913,0.8845,0.9023,ns,0.03664,ns,NA,NA,417.6,258.5,159.1,ns,0.05203,ns,NA,NA,1.159,1.157,1.161,ns,0.03779,ns,NA,NA,0.6757,0.6736,0.6791,ns,0.04297,moldova_Arid,884.4705236728045,Arid
ns,NA,NA,173,176.9,168.8,ns,0.07285,+,2.625,-5232,67.8,62.48,73.07,+,0.4891,ns,NA,NA,25.4,33.98,19.79,-,0.03504,ns,NA,NA,102600,54240,48400,ns,0.01041,ns,NA,NA,4041,1596,2445,ns,0.1353,ns,NA,NA,14.76,18.22,12.51,-,0.04567,ns,NA,NA,2.518,2.695,2.403,ns,0.01103,ns,NA,NA,3.581,4.138,3.218,-,0.06755,ns,NA,NA,1.056,1.037,1.068,+,0.03504,ns,NA,NA,8.304,7.376,7.802,ns,0.1353,ns,NA,NA,0.9151,0.8862,0.9341,+,0.04567,ns,NA,NA,4267,1655,2612,ns,0.1353,ns,NA,NA,1.079,1.109,1.06,ns,0.01103,ns,NA,NA,0.6821,0.6537,0.7007,+,0.06755,mongolia_Arid,313.9473757558191,Arid
ns,NA,NA,149.7,166.1,120.6,ns,0.2393,ns,NA,NA,59.01,63.24,35.24,ns,0.281,ns,NA,NA,17.52,15.58,22.45,ns,0.008669,-,-539.3,1090000,101000,64590,36450,ns,0.2393,-,-18.05,36480,5769,4145,1624,-,0.5099,ns,NA,NA,7.345,5.969,10.86,ns,0.004537,ns,NA,NA,3.311,3.409,3.06,ns,0.02266,ns,NA,NA,1.584,1.424,1.992,ns,0.01784,+,0.01425,-27.77,0.8191,0.8128,0.8353,ns,0.008669,-,-0.1412,289.6,8.66,8.33,7.393,-,0.5099,+,0.01181,-23.1,0.6533,0.6384,0.6915,ns,0.004537,-,-12.77,25950,4725,3369,1357,ns,0.4475,ns,NA,NA,1.159,1.174,1.122,ns,0.02266,ns,NA,NA,0.4431,0.429,0.4791,ns,0.01784,mongolia_Boreal,318.880429558498,Boreal
ns,NA,NA,223.1,231.2,172.9,ns,0.01041,-,-1.539,3125,42.56,33.53,56.11,ns,0.2602,ns,NA,NA,1.626,1.898,0.861,ns,0.07125,-,-0.5785,1182,1548,1333,215.3,ns,0.2393,-,-2.633,5324,952,702,250,ns,0.3441,ns,NA,NA,0.6634,0.7409,0.4456,ns,0.03036,ns,NA,NA,2.484,2.58,2.216,ns,0.06043,ns,NA,NA,0.3381,0.3538,0.2942,ns,0.03492,ns,NA,NA,0.4498,0.4708,0.3909,ns,0.07125,-,-0.1089,222.9,6.86,6.555,5.525,ns,0.3441,ns,NA,NA,0.3459,0.3587,0.3097,ns,0.03036,-,-0.846,1717,428.2,330.5,97.73,ns,0.3434,ns,NA,NA,1.042,1.062,0.9871,ns,0.06043,ns,NA,NA,0.2572,0.2626,0.2421,ns,0.03492,mongolia_Polar,20815.370077187752,Polar
ns,NA,NA,209.4,211.9,207.3,ns,0.1521,+,1.227,-2461,33.73,25.65,39.3,ns,0.3347,+,0.05654,-111.3,2.92,2.9,2.938,ns,0.01021,ns,NA,NA,893.5,414.6,478.9,ns,0.1981,ns,NA,NA,306,143,163,ns,0.1984,ns,NA,NA,7.763,7.513,7.982,ns,0.002258,ns,NA,NA,4.693,4.552,4.816,ns,0.01669,ns,NA,NA,3.106,3.248,2.982,ns,0.05298,+,0.01739,-33.94,1.014,1.001,1.025,ns,0.01021,ns,NA,NA,5.727,4.97,5.1,ns,0.1984,ns,NA,NA,1.809,1.801,1.816,ns,0.002258,ns,NA,NA,310.3,143.1,167.1,ns,0.1981,ns,NA,NA,1.54,1.514,1.563,ns,0.01669,ns,NA,NA,1.275,1.306,1.248,ns,0.05298,montenegro_Temperate,315.8293713357809,Temperate
ns,NA,NA,219.7,231.3,214.7,ns,0.1838,ns,NA,NA,58.18,32.79,65.64,ns,0.0212,ns,NA,NA,2.061,2.111,2.04,ns,0.008962,+,1.206,-2416,641,194.2,446.8,ns,0.1354,+,0.9167,-1836,311,92,219,ns,0.1781,ns,NA,NA,4.87,5.03,4.802,ns,0.01483,ns,NA,NA,4.125,4.359,4.027,ns,0.002901,ns,NA,NA,2.156,2.212,2.132,ns,0.003529,ns,NA,NA,0.7405,0.7546,0.7345,ns,0.008962,+,0.1335,-266.7,5.743,4.533,5.394,ns,0.1781,ns,NA,NA,1.405,1.427,1.396,ns,0.01483,+,0.6394,-1280,230.3,69.43,160.9,ns,0.1563,ns,NA,NA,1.342,1.365,1.332,ns,0.002901,ns,NA,NA,1.034,1.04,1.031,ns,0.003529,montenegro_Boreal,440.2396045003997,Boreal
ns,NA,NA,228.8,231.3,225.4,ns,0.1769,ns,NA,NA,37.28,40.8,31.81,ns,0.1769,ns,NA,NA,2.013,1.92,2.151,ns,0.009388,ns,NA,NA,763,433.9,329.1,ns,0.1769,ns,NA,NA,379,226,153,ns,0.1669,ns,NA,NA,1.088,1.05,1.143,ns,0.01529,ns,NA,NA,3.628,3.584,3.693,ns,0.02363,ns,NA,NA,0.4733,0.4662,0.4837,ns,7.701e-4,ns,NA,NA,0.7743,0.7599,0.7955,ns,0.009388,ns,NA,NA,5.94,5.425,5.037,ns,0.1669,ns,NA,NA,0.5653,0.5498,0.5881,ns,0.01529,ns,NA,NA,293.5,171.7,121.7,ns,0.1977,ns,NA,NA,1.314,1.297,1.34,ns,0.02363,ns,NA,NA,0.3483,0.3445,0.3541,ns,7.701e-4,morocco_Temperate,15761.629962863728,Temperate
NA,NA,NA,206.1,195.1,213.8,NA,NA,NA,NA,NA,48.1,62.37,32.84,NA,NA,NA,NA,NA,2.331,1.408,4.33,NA,NA,NA,NA,NA,221.4,91.52,129.9,NA,NA,NA,NA,NA,95,65,30,NA,NA,NA,NA,NA,1.482,1.011,2.504,NA,NA,NA,NA,NA,2.779,2.277,3.867,NA,NA,NA,NA,NA,0.6795,0.589,0.8756,NA,NA,NA,NA,NA,0.8214,0.6683,1.153,NA,NA,NA,NA,NA,4.564,4.19,3.434,NA,NA,NA,NA,NA,0.6621,0.5484,0.9085,NA,NA,NA,NA,NA,78.03,43.44,34.59,NA,NA,NA,NA,NA,1.157,1.05,1.39,NA,NA,NA,NA,NA,0.4382,0.3913,0.5397,NA,NA,morocco_Arid,54313.10480199507,Arid
NA,NA,NA,107.2,183.9,97.37,NA,NA,NA,NA,NA,36.6,75.76,4.828,NA,NA,NA,NA,NA,1.14,0.6472,1.263,NA,NA,NA,NA,NA,51.3,5.825,45.47,NA,NA,NA,NA,NA,45,9,36,NA,NA,NA,NA,NA,0.5963,0.5486,0.6082,NA,NA,NA,NA,NA,3.578,1.889,4,NA,NA,NA,NA,NA,0.3588,0.4611,0.3333,NA,NA,NA,NA,NA,0.6288,0.4406,0.6759,NA,NA,NA,NA,NA,3.829,2.303,3.611,NA,NA,NA,NA,NA,0.4289,0.3906,0.4385,NA,NA,NA,NA,NA,28.3,3.965,24.33,NA,NA,NA,NA,NA,1.318,0.9342,1.414,NA,NA,NA,NA,NA,0.2857,0.3353,0.2733,NA,NA,morocco_Boreal,234435.95755521307,Boreal
ns,NA,NA,244.5,244.4,244.6,ns,0.1145,ns,NA,NA,52.14,53.56,49.79,ns,0.2185,-,-0.0346,71.72,2.172,2.327,1.962,-,0.03147,-,-216,446800,293500,180800,112700,ns,0.3018,ns,NA,NA,135200,77710,57460,ns,0.1561,-,-0.008984,19.45,1.26,1.324,1.174,-,0.02747,-,-0.0109,24.12,2.088,2.124,2.04,-,0.04215,-,-0.001967,4.6,0.6603,0.676,0.6391,-,0.01972,-,-0.002909,6.54,0.6724,0.69,0.6486,-,0.03147,ns,NA,NA,11.81,11.26,10.96,ns,0.1561,-,-0.002175,4.932,0.5464,0.5596,0.5285,-,0.02747,ns,NA,NA,90890,53620,37270,ns,0.1977,-,-0.002963,6.988,1.008,1.017,0.9966,-,0.04215,-,-0.001334,3.096,0.4126,0.4202,0.4022,-,0.01972,mozambique_Arid,55.61951817567792,Arid
ns,NA,NA,244.1,243.9,244.2,ns,0.01041,-,-0.2414,516.5,33.48,34.23,32.52,ns,0.3226,-,-0.01527,32.61,1.898,1.984,1.802,-,0.008984,-,-940.3,2058000,3299000,1830000,1469000,ns,0.3642,+,273,-463800,1738000,922500,815200,ns,0.3642,-,-0.005537,12.05,0.8884,0.921,0.8514,-,0.01072,-,-0.003688,9.597,2.14,2.148,2.131,-,0.009859,-,-9.548e-4,2.393,0.4738,0.4844,0.4617,-,0.01048,-,-5.628e-4,1.725,0.5781,0.585,0.5703,-,0.008984,+,0.003208,4.902,14.37,13.73,13.61,ns,0.3642,-,-5.794e-4,1.619,0.45,0.4556,0.4437,-,0.01072,ns,NA,NA,1005000,539600,464900,ns,0.1353,-,-5.032e-4,2.023,1.004,1.006,1.002,-,0.009859,-,-5.27e-4,1.397,0.3385,0.3422,0.3343,-,0.01048,mozambique_Equatorial,4.949235449792511,Equatorial
ns,NA,NA,241.5,241.2,241.9,ns,0.1769,ns,NA,NA,32.02,33.42,30.08,ns,0.09366,-,-0.01544,32.84,1.727,1.802,1.637,-,0.01647,-,-336.3,699700,465800,264200,201600,ns,0.3434,ns,NA,NA,269700,146600,123100,ns,0.05203,-,-0.009518,20.04,0.8792,0.9115,0.8408,-,0.01893,ns,NA,NA,2.189,2.192,2.184,-,0.01516,-,-0.002959,6.432,0.4811,0.4922,0.4678,-,0.01901,-,-0.001948,4.529,0.6002,0.6093,0.5895,-,0.01647,ns,NA,NA,12.51,11.9,11.72,ns,0.05203,-,-0.001993,4.479,0.4679,0.476,0.4584,-,0.01893,-,-28.84,65970,161900,89310,72600,ns,0.1977,ns,NA,NA,1.021,1.022,1.019,-,0.01516,-,-0.001403,3.173,0.349,0.3543,0.3428,-,0.01901,mozambique_Temperate,35.05009085912866,Temperate
+,0.7404,-1425,69.72,68.17,71.49,ns,0.2602,+,1.016,-2018,32.29,24.77,39.1,+,0.6972,-,-0.01289,26.7,0.8032,0.8564,0.7498,-,0.01383,-,-284.9,591600,421800,225400,196500,ns,0.3642,ns,NA,NA,525200,263100,262000,ns,0.01041,-,-0.006042,12.74,0.5867,0.6182,0.5551,-,0.01688,-,-6.776e-4,2.624,1.261,1.264,1.258,ns,0.002128,-,-0.003393,7.273,0.4561,0.4737,0.4384,-,0.01751,-,-0.001501,3.423,0.4011,0.4097,0.3924,-,0.01383,ns,NA,NA,13.17,12.48,12.48,ns,0.01041,-,-0.00133,3.032,0.3607,0.36870000000000003,0.3527,-,0.01688,ns,NA,NA,210600,107800,102800,ns,0.09366,-,-1.408e-4,1.064,0.7818,0.7826,0.781,ns,0.002128,-,-0.001161,2.66,0.3282,0.3348,0.3216,-,0.01751,myanmar_Equatorial,32.4444073833357,Equatorial
ns,NA,NA,77.82,77.99,77.61,ns,0.07285,ns,NA,NA,19.93,20.05,19.79,ns,0.1353,ns,NA,NA,0.6586,0.6728,0.6421,-,0.01091,-,-409,838600,273300,149700,123600,ns,0.1977,-,-603.1,1237000,415000,222500,192400,ns,0.1977,-,-0.003293,7.124,0.5069,0.5231,0.4881,-,0.01727,+,7.911e-4,-0.3562,1.239,1.234,1.245,+,0.007477,-,-0.003074,6.594,0.4166,0.4301,0.4011,-,0.01862,-,-9.791e-4,2.345,0.3773,0.382,0.3718,-,0.01091,-,-0.02587,62.13,12.94,12.31,12.17,ns,0.1977,-,-0.001282,2.915,0.3388,0.3443,0.3323,-,0.01727,-,-226,463700,156600,85020,71560,ns,0.1977,+,2.455e-4,0.2819,0.7768,0.7753,0.7786,+,0.007477,-,-0.001448,3.222,0.3117,0.3172,0.3053,-,0.01862,myanmar_Temperate,50.07794418429997,Temperate
